clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
128,128,gaussian_25db,gaussian,5.088,,cv21_zh_dev100:17,zh,0.006610576923076923,25,cv21_zh_dev100,0.0859375
201,201,gaussian_25db,gaussian,8.028,,cv21_zh_dev100:18,zh,0.008036739380022962,25,cv21_zh_dev100,0.1044776119402985
129,129,gaussian_25db,gaussian,5.136,,cv21_zh_dev100:19,zh,0.018485390578413835,25,cv21_zh_dev100,0.24031007751937986
108,108,gaussian_25db,gaussian,4.32,,cv21_zh_dev100:20,zh,0.011396011396011395,25,cv21_zh_dev100,0.14814814814814814
258,258,gaussian_25db,gaussian,10.296,,cv21_zh_dev100:21,zh,0.00655933214072749,25,cv21_zh_dev100,0.08527131782945736
143,143,gaussian_25db,gaussian,5.712,,cv21_zh_dev100:22,zh,0.005379236148466918,25,cv21_zh_dev100,0.06993006993006994
195,195,gaussian_25db,gaussian,7.776,,cv21_zh_dev100:23,zh,0.01775147928994083,25,cv21_zh_dev100,0.23076923076923078
196,196,gaussian_25db,gaussian,7.824,,cv21_zh_dev100:24,zh,0.009419152276295133,25,cv21_zh_dev100,0.12244897959183673
115,115,gaussian_25db,gaussian,4.584,,cv21_zh_dev100:25,zh,0.006020066889632108,25,cv21_zh_dev100,0.0782608695652174
181,181,gaussian_25db,gaussian,7.224,,cv21_zh_dev100:26,zh,0.0055248618784530384,25,cv21_zh_dev100,0.0718232044198895
120,120,gaussian_25db,gaussian,4.8,,cv21_zh_dev100:27,zh,0.010256410256410256,25,cv21_zh_dev100,0.13333333333333333
135,135,gaussian_25db,gaussian,5.376,,cv21_zh_dev100:28,zh,0.006837606837606838,25,cv21_zh_dev100,0.08888888888888889
144,144,gaussian_25db,gaussian,5.736,,cv21_zh_dev100:29,zh,0.019764957264957264,25,cv21_zh_dev100,0.2569444444444444
230,230,gaussian_25db,gaussian,9.18,,cv21_zh_dev100:30,zh,0.022408026755852843,25,cv21_zh_dev100,0.29130434782608694
199,199,gaussian_25db,gaussian,7.944,,cv21_zh_dev100:31,zh,0.015848473134905297,25,cv21_zh_dev100,0.20603015075376885
112,112,gaussian_25db,gaussian,4.464,,cv21_zh_dev100:32,zh,0.006868131868131868,25,cv21_zh_dev100,0.08928571428571429
118,118,gaussian_25db,gaussian,4.704,,cv21_zh_dev100:33,zh,0.004563233376792699,25,cv21_zh_dev100,0.059322033898305086
92,92,gaussian_25db,gaussian,3.648,,cv21_zh_dev100:34,zh,0.004180602006688963,25,cv21_zh_dev100,0.05434782608695652
220,220,gaussian_25db,gaussian,8.784,,cv21_zh_dev100:35,zh,0.012937062937062937,25,cv21_zh_dev100,0.16818181818181818
199,199,gaussian_25db,gaussian,7.956,,cv21_zh_dev100:36,zh,0.010823347506764593,25,cv21_zh_dev100,0.1407035175879397
123,123,gaussian_25db,gaussian,4.896,,cv21_zh_dev100:37,zh,0.009380863039399624,25,cv21_zh_dev100,0.12195121951219512
108,108,gaussian_25db,gaussian,4.32,,cv21_zh_dev100:38,zh,0.013532763532763533,25,cv21_zh_dev100,0.17592592592592593
145,145,gaussian_25db,gaussian,5.784,,cv21_zh_dev100:39,zh,0.004244031830238726,25,cv21_zh_dev100,0.05517241379310345
104,104,gaussian_25db,gaussian,4.152,,cv21_zh_dev100:40,zh,0.013313609467455622,25,cv21_zh_dev100,0.17307692307692307
169,169,gaussian_25db,gaussian,6.744,,cv21_zh_dev100:41,zh,0.004096495220755576,25,cv21_zh_dev100,0.05325443786982249
123,123,gaussian_25db,gaussian,4.896,,cv21_zh_dev100:42,zh,0.0068792995622263915,25,cv21_zh_dev100,0.08943089430894309
135,135,gaussian_25db,gaussian,5.4,,cv21_zh_dev100:43,zh,0.007407407407407408,25,cv21_zh_dev100,0.0962962962962963
147,147,gaussian_25db,gaussian,5.856,,cv21_zh_dev100:44,zh,0.007326007326007326,25,cv21_zh_dev100,0.09523809523809523
118,118,gaussian_25db,gaussian,4.704,,cv21_zh_dev100:45,zh,0.011734028683181226,25,cv21_zh_dev100,0.15254237288135594
131,131,gaussian_25db,gaussian,5.208,,cv21_zh_dev100:46,zh,0.009395184967704051,25,cv21_zh_dev100,0.12213740458015267
87,87,gaussian_25db,gaussian,3.48,,cv21_zh_dev100:47,zh,0.007073386383731211,25,cv21_zh_dev100,0.09195402298850575
199,199,gaussian_25db,gaussian,7.944,,cv21_zh_dev100:48,zh,0.008504058755315038,25,cv21_zh_dev100,0.11055276381909548
239,239,gaussian_25db,gaussian,9.528,,cv21_zh_dev100:49,zh,0.004505954296749276,25,cv21_zh_dev100,0.058577405857740586
165,165,gaussian_25db,gaussian,6.588,,cv21_zh_dev100:50,zh,0.007459207459207459,25,cv21_zh_dev100,0.09696969696969697
153,153,gaussian_25db,gaussian,6.1126875,,cv21_zh_dev100:51,zh,0.008044243338360986,25,cv21_zh_dev100,0.10457516339869281
154,154,gaussian_25db,gaussian,6.156,,cv21_zh_dev100:52,zh,0.012987012987012988,25,cv21_zh_dev100,0.16883116883116883
237,237,gaussian_25db,gaussian,9.456,,cv21_zh_dev100:53,zh,0.008763388510223954,25,cv21_zh_dev100,0.11392405063291139
222,222,gaussian_25db,gaussian,8.856,,cv21_zh_dev100:54,zh,0.0045045045045045045,25,cv21_zh_dev100,0.05855855855855856
166,166,gaussian_25db,gaussian,6.624,,cv21_zh_dev100:55,zh,0.006024096385542169,25,cv21_zh_dev100,0.0783132530120482
102,102,gaussian_25db,gaussian,4.056,,cv21_zh_dev100:56,zh,0.0196078431372549,25,cv21_zh_dev100,0.2549019607843137
174,174,gaussian_25db,gaussian,6.96,,cv21_zh_dev100:57,zh,0.007073386383731211,25,cv21_zh_dev100,0.09195402298850575
215,215,gaussian_25db,gaussian,8.568,,cv21_zh_dev100:58,zh,0.012880143112701251,25,cv21_zh_dev100,0.16744186046511628
107,107,gaussian_25db,gaussian,4.272,,cv21_zh_dev100:59,zh,0.005751258087706685,25,cv21_zh_dev100,0.07476635514018691
213,213,gaussian_25db,gaussian,8.496,,cv21_zh_dev100:60,zh,0.020585048754062838,25,cv21_zh_dev100,0.2676056338028169
141,141,gaussian_25db,gaussian,5.616,,cv21_zh_dev100:61,zh,0.01691216584833606,25,cv21_zh_dev100,0.2198581560283688
229,229,gaussian_25db,gaussian,9.144,,cv21_zh_dev100:62,zh,0.004030903594222372,25,cv21_zh_dev100,0.05240174672489083
