aggregation,audio_index,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
entropy_weighted,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
entropy_weighted,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
edge_voter,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_voter,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
edge_entropy,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_entropy,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
edge_voter_entropy,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_voter_entropy,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
hidden_mean,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_mean,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
hidden_edge,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_edge,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
hidden_edge_voter,2,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_edge_voter,2,1.0,1097,0.5882666666666667,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5850666666666666
first,2,1.0,615,0.33066666666666666,stride_15s,nonoverlap_majority,1875,0.328
first,2,1.0,933,0.49866666666666665,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4976
majority,2,1.0,615,0.33066666666666666,stride_15s,nonoverlap_majority,1875,0.328
majority,2,1.0,933,0.49866666666666665,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4976
center,2,1.0,782,0.41973333333333335,stride_15s,nonoverlap_majority,1875,0.41706666666666664
center,2,1.0,816,0.4352,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4352
edge_weighted,2,1.0,782,0.41973333333333335,stride_15s,nonoverlap_majority,1875,0.41706666666666664
edge_weighted,2,1.0,816,0.4352,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4352
voter_margin,2,1.0,756,0.4048,stride_15s,nonoverlap_majority,1875,0.4032
voter_margin,2,1.0,844,0.45066666666666666,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.45013333333333333
entropy_weighted,2,1.0,756,0.4048,stride_15s,nonoverlap_majority,1875,0.4032
entropy_weighted,2,1.0,836,0.4464,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4458666666666667
edge_voter,2,1.0,782,0.41973333333333335,stride_15s,nonoverlap_majority,1875,0.41706666666666664
edge_voter,2,1.0,816,0.4352,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4352
edge_entropy,2,1.0,782,0.41973333333333335,stride_15s,nonoverlap_majority,1875,0.41706666666666664
edge_entropy,2,1.0,816,0.4352,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4352
edge_voter_entropy,2,1.0,782,0.41973333333333335,stride_15s,nonoverlap_majority,1875,0.41706666666666664
edge_voter_entropy,2,1.0,816,0.4352,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4352
hidden_mean,2,1.0,980,0.5253333333333333,stride_15s,nonoverlap_majority,1875,0.5226666666666666
hidden_mean,2,1.0,829,0.44266666666666665,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4421333333333333
hidden_edge,2,1.0,980,0.5253333333333333,stride_15s,nonoverlap_majority,1875,0.5226666666666666
hidden_edge,2,1.0,829,0.44266666666666665,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4421333333333333
hidden_edge_voter,2,1.0,858,0.46026666666666666,stride_15s,nonoverlap_majority,1875,0.4576
hidden_edge_voter,2,1.0,779,0.41546666666666665,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.41546666666666665
first,2,1.0,844,0.45386666666666664,stride_5s,nonoverlap_majority,1875,0.45013333333333333
first,2,1.0,1161,0.6208,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.6192
majority,2,1.0,856,0.4597333333333333,stride_5s,nonoverlap_majority,1875,0.45653333333333335
majority,2,1.0,835,0.4464,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.44533333333333336
center,2,1.0,1048,0.5632,stride_5s,nonoverlap_majority,1875,0.5589333333333333
center,2,1.0,750,0.4,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.4
edge_weighted,2,1.0,1006,0.5402666666666667,stride_5s,nonoverlap_majority,1875,0.5365333333333333
edge_weighted,2,1.0,632,0.3370666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3370666666666667
voter_margin,2,1.0,1030,0.5498666666666666,stride_5s,nonoverlap_majority,1875,0.5493333333333333
voter_margin,2,1.0,761,0.40586666666666665,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.40586666666666665
entropy_weighted,2,1.0,1031,0.5509333333333334,stride_5s,nonoverlap_majority,1875,0.5498666666666666
entropy_weighted,2,1.0,754,0.4032,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.40213333333333334
edge_voter,2,1.0,1006,0.5402666666666667,stride_5s,nonoverlap_majority,1875,0.5365333333333333
edge_voter,2,1.0,632,0.3370666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3370666666666667
edge_entropy,2,1.0,1007,0.5408,stride_5s,nonoverlap_majority,1875,0.5370666666666667
edge_entropy,2,1.0,633,0.3376,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3376
edge_voter_entropy,2,1.0,1006,0.5402666666666667,stride_5s,nonoverlap_majority,1875,0.5365333333333333
edge_voter_entropy,2,1.0,631,0.33653333333333335,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.33653333333333335
hidden_mean,2,1.0,1135,0.6085333333333334,stride_5s,nonoverlap_majority,1875,0.6053333333333333
hidden_mean,2,1.0,840,0.448,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.448
